abhängig,dependent 
ähnlich,similar 
ähnlichen,similar 
aktiv,active 
aktive,active 
aktuelle,current 
allgemein,generally 
alt,everything 
alte,other 
alten,old 
ausgezeichnet,excellent 
automatisch,automatically 
beendet,completed 
begeistert,excited 
bekannt,known 
bekannten,acquaintance 
beliebt,popular 
bereit,ready 
besonderen,special 
besser,better 
bessere,better 
besseren,better 
beste,as 
besten,best 
billig,cheap 
billiger,cheaper 
blau,blue 
blaue,blueness 
blauen,blue 
böse,angry 
braun,brown 
braune,tan 
bunt,colorful 
bunte,colorful 
buntes,colorful 
chemisches,chemical 
detaillierte,detailed 
deutlich,clear 
deutschen,German 
dick,dick 
dicke,thickness 
dicken,thickness 
dritte,third 
dritten,third 
dumm,stupid 
dünn,thin 
echt,for real 
egal,no matter 
ehemalige,former 
ehemaligen,former 
ehrlich,honest 
eigene,own 
eigenen,own 
eigener,own 
eigenes,own 
eindeutig,clearly 
einfach,easy 
einfache,simple 
einfachen,simple 
einzelnen,individual 
einzige,only one 
englische,english 
englischer,English 
erneut,again 
erste,first 
ersten,first 
erstes,first 
europäisch,European 
europäische,European 
externe,external 
extrem,extremely 
falsch,not correct 
fertig,finished 
fest,firmly 
fit,fit 
frei,free 
freien,free 
frisch,fresh 
früh,early 
fünfte,fifth 
ganzen,whole 
gefährlich,dangerous 
gelb,yellow 
gelber,yellow 
gemeinsam,together 
gemeinsame,common 
gesamte,entire 
gesamten,entire 
gesund,healthy 
gewöhnlich,usually 
gleich,equal 
gleiche,same 
gleichen,equal 
glücklich,happy 
grau,degree 
grauen,gray 
groß,large 
großartig,Great 
große,size 
großen,huge 
großer,greater 
größer,greater 
größere,larger 
größeren,larger 
größeres,larger 
großes,big 
größte,largest 
größten,biggest 
grün,green 
grüne,green 
grünen,green 
grünes,green 
günstige,favorable 
gut,Well 
gute,quality 
guten,good 
guter,goods 
gutes,good 
halb,half 
harmlos,harmless 
hart,heart 
häufig,often 
heilig,holy 
heilige,saint 
heiß,hot 
heiße,name is 
herzlich,cordial 
heutigen,present 
hilfreich,helpful 
höchste,highest 
hohe,height 
hohen,high 
hoher,higher 
höher,higher 
höhere,higher 
höheren,higher 
individuell,individually 
individuelle,individual 
interessant,interesting 
interessante,interesting 
international,international 
internationale,international 
internationalen,international 
jährlich,yearly 
jugendliche,youth 
jung,young 
jungen,boys 
kalt,cold 
kaputt,broken 
klar,clear 
klein,small 
kleinen,small 
kleiner,smaller 
kleines,small 
knapp,scarce 
komisch,funny 
komplett,complete 
komplette,complete 
korrupt,corrupt 
kostenlos,free 
kostenlose,free 
kostenlosen,free 
krank,ill 
kühl,cool 
kurz,short 
lang,Wolf 
lange,Long 
langen,long 
länger,longer 
langsam,slowly 
langsamer,slower 
langweilig,boring 
laut,according to 
lecker,delicious 
leer,read 
leicht,light 
leichter,lighter 
leise,quietly 
letzte,latest 
letzten,last 
letzter,last 
lieber,rather 
linken,Lincoln 
lustig,funny 
magisch,magic 
magische,magical 
magischen,magical 
modernen,modern 
möglich,possible 
möglichen,potential 
monatlich,per month 
müde,tired 
nächste,next 
nächsten,next 
nächster,next 
nass,wet 
nett,screen 
neu,New 
neue,new 
neuen,new 
neues,new 
neuesten,latest 
normal,normal 
normalen,normal 
notwendig,necessary 
notwendigen,necessary 
nützlich,useful 
offen,open 
offene,open 
offenen,open 
öffentliche,public 
öffentlichen,public 
öffentliches,public 
passende,suitable 
passenden,matching 
passiert,happens 
perfekt,Perfect 
persönlich,personally 
persönliche,personal 
persönlichen,personal 
pink,pink 
plötzlich,suddenly 
politischen,political 
positiv,positive 
praktisch,practically 
privat,private 
private,private 
privaten,private 
regional,regional 
reich,rich 
relativ,relative 
richtig,correct 
richtige,right one 
rote,Red 
roten,redden 
roter,red 
rotes,red 
ruhig,calm 
rund,round 
salzig,salty 
sauber,clean 
sauer,angry 
scharf,sharp 
schlau,clever 
schlecht,bad 
schlechte,bad 
schlechter,poor 
schlimm,bad 
schmutzig,dirty 
schnell,fast 
schnellen,fast 
schneller,more quickly 
schnelles,quick 
schön,beautiful 
schöne,lovely 
schönen,pretty 
schöner,more beautiful 
schwach,weak 
schwanger,pregnant 
schwarz,black 
schwarze,black 
schwarzen,black 
schwarzes,black 
schwer,heavy 
sechste,sixth 
selbstverständlich,Of course 
selten,Rare 
seltsam,strange 
sichtbar,visible 
sinnvoll,meaningful 
soziale,social 
sozialen,social 
soziales,social 
spät,late 
später,later 
speziellen,special 
stark,strong 
starke,Strength 
starken,strengthen 
stärker,stronger 
stolz,proud 
super,super 
süß,sweet 
täglich,Every day 
tapfer,brave 
tatsächlich,indeed 
technischen,technical 
teuer,expensive 
teurer,expensive 
tief,deep 
toll,toll 
total,total 
traurig,Sad 
trocken,dry 
übrigen,by the way 
unabhängig,independently 
unbekannt,unknown 
unglaublich,incredible 
unheimlich,creepy 
unmöglich,impossible 
unsichtbar,invisible 
unterschiedliche,different 
verantwortlich,responsible 
verfügbar,available 
verfügbaren,available 
vergangenen,past 
verheiratet,married 
verpflichtet,Committed 
verrückt,crazy 
verschiedene,various 
verschiedenen,different 
vierte,fourth 
voll,full 
völlig,completely 
vorsichtig,carefully 
wahr,true 
wahrscheinlich,probably 
warm,warm 
weich,soft 
weiße,white 
weißen,white 
weißer,white 
weißes,white 
weit,far 
weitere,Further 
weiterer,further 
weiteres,additional 
wert,value 
wertvoll,precious 
wichtig,important 
wichtige,important 
wichtigen,important 
wichtiger,more important 
wichtigsten,main 
willkommen,welcome 
wirklich,really 
witzig,funny 
wöchentlich,weekly 
wunderbar,wonderful 
wunderschön,beautiful 
wunderschöne,beautiful 
zahlreiche,numerous 
zufälliger,random 
zufrieden,satisfied 
zusätzliche,additional 
zusätzlichen,additional 
zuständig,responsible 
zuständigen,competent 
zweite,second 
zweiten,second 
